position_bp,is_alpha_0.0,is_alpha_0.4,is_alpha_0.8,is_alpha_1.2,is_alpha_1.6,is_alpha_2.0
8.000100000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000300000000000000e+07,1.468867529183626175e-02,1.459881197661161423e-02,1.447127573192119598e-02,1.413127034902572632e-02,1.336595322936773300e-02,1.205807458609342575e-02
8.000500000000000000e+07,2.792194113135337830e-02,2.770082280039787292e-02,2.739650383591651917e-02,2.676817588508129120e-02,2.550741657614707947e-02,2.339203841984272003e-02
8.000700000000000000e+07,3.982483595609664917e-02,3.953329101204872131e-02,3.910215571522712708e-02,3.825379908084869385e-02,3.671395033597946167e-02,3.419375792145729065e-02
8.000900000000000000e+07,5.065452679991722107e-02,5.033846944570541382e-02,4.983787238597869873e-02,4.879925027489662170e-02,4.700893908739089966e-02,4.424054175615310669e-02
8.001100000000000000e+07,6.055562570691108704e-02,6.022010371088981628e-02,5.966745316982269287e-02,5.844809114933013916e-02,5.642047524452209473e-02,5.340939387679100037e-02
8.001300000000000000e+07,6.928884238004684448e-02,6.891322880983352661e-02,6.830355525016784668e-02,6.689797341823577881e-02,6.461600959300994873e-02,6.130613759160041809e-02
8.001500000000000000e+07,7.696980237960815430e-02,7.656174153089523315e-02,7.591480761766433716e-02,7.434281706809997559e-02,7.183202356100082397e-02,6.825710833072662354e-02
8.001700000000000000e+07,8.384094387292861938e-02,8.341652154922485352e-02,8.277620375156402588e-02,8.109682053327560425e-02,7.840730994939804077e-02,7.458170503377914429e-02
8.001900000000000000e+07,9.042168408632278442e-02,9.002415835857391357e-02,8.944574743509292603e-02,8.781504631042480469e-02,8.521263301372528076e-02,8.142314851284027100e-02
8.002100000000000000e+07,9.660012274980545044e-02,9.628114849328994751e-02,9.582166373729705811e-02,9.437997639179229736e-02,9.205197542905807495e-02,8.839429169893264771e-02
8.002300000000000000e+07,1.019075140357017517e-01,1.016382500529289246e-01,1.012260317802429199e-01,9.980593621730804443e-02,9.742811322212219238e-02,9.347958117723464966e-02
8.002500000000000000e+07,1.065563857555389404e-01,1.062977164983749390e-01,1.058383285999298096e-01,1.041643619537353516e-01,1.011715009808540344e-01,9.637226164340972900e-02
8.002700000000000000e+07,1.108731105923652649e-01,1.106466650962829590e-01,1.101517379283905029e-01,1.081730276346206665e-01,1.044519916176795959e-01,9.883136302232742310e-02
8.002900000000000000e+07,1.149735078215599060e-01,1.148338839411735535e-01,1.143746674060821533e-01,1.122711226344108582e-01,1.082869619131088257e-01,1.025340333580970764e-01
8.003100000000000000e+07,1.188727915287017822e-01,1.188225075602531433e-01,1.184343770146369934e-01,1.163464561104774475e-01,1.124450862407684326e-01,1.070277690887451172e-01
8.003300000000000000e+07,1.225273236632347107e-01,1.225222051143646240e-01,1.221732497215270996e-01,1.201105788350105286e-01,1.163524687290191650e-01,1.113914102315902710e-01
8.003500000000000000e+07,1.258183568716049194e-01,1.258187592029571533e-01,1.254997104406356812e-01,1.234941408038139343e-01,1.198986843228340149e-01,1.154053509235382080e-01
8.003700000000000000e+07,1.287803500890731812e-01,1.287725269794464111e-01,1.284725815057754517e-01,1.264913678169250488e-01,1.229928135871887207e-01,1.189042404294013977e-01
8.003900000000000000e+07,1.315617114305496216e-01,1.315241456031799316e-01,1.312163025140762329e-01,1.292222291231155396e-01,1.257553100585937500e-01,1.219555512070655823e-01
8.004100000000000000e+07,1.342666000127792358e-01,1.342279911041259766e-01,1.339310556650161743e-01,1.319637596607208252e-01,1.286091357469558716e-01,1.251690834760665894e-01
8.004300000000000000e+07,1.367546617984771729e-01,1.367376595735549927e-01,1.364768594503402710e-01,1.345667392015457153e-01,1.313580572605133057e-01,1.282854527235031128e-01
8.004500000000000000e+07,1.390232145786285400e-01,1.389941126108169556e-01,1.387411653995513916e-01,1.368581354618072510e-01,1.337516903877258301e-01,1.309843659400939941e-01
8.004700000000000000e+07,1.410762667655944824e-01,1.410135775804519653e-01,1.407601535320281982e-01,1.389052420854568481e-01,1.358938962221145630e-01,1.334031820297241211e-01
8.004900000000000000e+07,1.429487764835357666e-01,1.428703069686889648e-01,1.426202952861785889e-01,1.407965868711471558e-01,1.379144936800003052e-01,1.357428133487701416e-01
8.005100000000000000e+07,1.446551382541656494e-01,1.445686966180801392e-01,1.443195343017578125e-01,1.425026059150695801e-01,1.397032886743545532e-01,1.377842426300048828e-01
8.005300000000000000e+07,1.462527364492416382e-01,1.461251676082611084e-01,1.458341628313064575e-01,1.439462602138519287e-01,1.411187499761581421e-01,1.392936110496520996e-01
8.005500000000000000e+07,1.477841138839721680e-01,1.475816667079925537e-01,1.472164541482925415e-01,1.452139019966125488e-01,1.423103362321853638e-01,1.405163258314132690e-01
